x,y,z
-0.115177,-0.00459962,-0.181469
0.655203,0.174465,0.436395
-0.0664805,0.0259291,0.179713
0.669359,0.17534,0.668688
-0.610283,0.228766,0.650757
-0.56334,0.647076,-0.190156
-0.0867946,0.278794,-0.0155095
0.0903064,0.138443,0.789918
-0.176704,0.185758,-0.0672595
0.121383,0.368357,-0.438042
-0.18531,0.0350607,-0.094605
0.115474,-0.1156,-0.629769
0.102586,0.0696951,0.0746449
-0.382817,-0.455256,0.424853
0.688655,-0.506998,-0.251576
0.223958,-0.0362482,0.879389
0.193612,0.333646,0.237399
0.0741189,-0.491963,0.8679
0.530312,0.153017,-0.148691
-0.232614,0.0187838,0.132786
0.1389,0.110299,-0.493187
0.193658,0.155666,-0.128804
0.494661,0.653679,0.411384
0.0392036,0.0110787,0.770471
-0.131426,-0.104518,0.129187
-0.393043,-0.190285,1.0065
-0.252285,-0.253565,-0.625401
-0.108622,0.322036,0.0221657
0.171432,0.221204,0.819723
0.118137,0.254746,0.781679
-0.00186028,0.156839,0.718847
0.0383008,0.195495,0.265796
0.0955755,-0.127557,0.517713
-0.35556,-0.16461,-0.641632
0.0762264,-0.200379,-0.0864875
0.685222,0.0978301,0.430916
-0.385377,0.0340401,0.524453
-0.11848,0.0828949,0.2209
0.141476,-0.180689,0.207176
-0.299123,-0.0813563,0.199678
-0.504996,-0.450158,0.328262
0.0967413,0.00530563,0.192671
-0.145837,-0.150981,0.472601
0.490248,-0.0592171,0.290144
0.544245,-0.141628,-0.024266
0.20923,-0.447282,0.672298
0.106541,0.0114337,0.329015
0.196104,0.00455845,0.125724
-0.552175,-0.247197,0.601438
0.141437,0.111284,0.103667
-0.00052676,0.135497,0.193706
0.129578,-0.49934,-0.4705
-0.0831985,0.0847951,0.178467
-0.0971942,0.25953,0.524816
-0.00662315,0.13782,-0.772016
-0.0243321,0.0264698,0.0538327
-0.633939,-0.130188,0.0750155
-0.10644,0.108331,0.5148
0.663315,-0.0244871,0.29389
-0.129239,-0.0591573,0.70508
-0.101045,0.200399,0.0971255
0.0921503,0.216986,0.376714
-0.732996,-0.509175,0.205191
0.0765196,-0.681747,0.545019
-0.4184,0.0309942,-0.634032
-0.707703,0.0390569,0.290599
0.228047,-0.63795,-0.395129
0.206674,0.512289,-0.050817
0.218658,0.0826492,0.835383
-0.294004,-0.241238,-0.0192644
-0.103272,-0.221008,-0.0339122
0.135275,-0.399577,0.256063
-0.237337,0.194727,0.817211
0.504917,0.706266,-0.00116822
0.126499,0.304717,0.0717501
-0.652409,-0.0259731,0.0524588
-0.095667,-0.246261,-0.560662
0.144453,-0.0904972,0.353665
-0.216406,0.119573,0.239216
0.809632,0.312761,0.0569449
0.0193924,-0.206055,0.243158
-0.150564,0.0520893,1.01932
0.386767,-0.0729011,0.680242
-0.210358,-0.122044,-0.401962
-0.0792154,0.207495,0.97685
-0.375005,0.0939057,-0.345191
0.418956,0.0267915,0.320324
0.272764,0.0954864,0.864907
0.393289,-0.0384121,-0.07209
0.240234,0.0212745,0.925962
-0.1331,0.151643,0.97917
-0.109466,-0.829634,0.418822
0.299982,-0.347951,-0.318612
-0.275677,-0.0194033,0.557124
0.528716,0.660579,-0.100722
0.340132,-0.356187,0.592657
0.310786,-0.789113,-0.247177
-0.206664,-0.390431,0.880642
-0.153442,0.0256368,0.174137
0.324667,0.601981,0.476164
0.205392,0.0336457,0.480839
-0.0922505,-0.14352,-0.0752933
0.141015,0.210426,0.250446
0.0588488,-0.817335,0.362406
-0.324258,-0.0548452,-0.261262
-0.259123,-0.0117207,0.820327
-0.14681,-0.048793,0.0424988
-0.193001,0.404073,0.330002
0.0326535,-0.538295,-0.0115649
-0.578381,0.143985,-0.0863092
0.448028,0.0462859,-0.601103
0.179592,0.11439,0.376031
-0.172216,0.125945,0.186407
-0.05998,-0.010331,1.0826
-0.150878,0.0300763,0.198676
-0.0284492,-0.114432,0.156708
-0.0570597,-0.0130375,0.28609
-0.252264,-0.0518677,-0.255299
0.517841,0.338805,0.626002
0.0572244,0.238141,0.321131
-0.0912087,-0.665565,-0.00649695
-0.292995,0.716027,0.170833
0.0451648,0.408954,0.0644234
0.0994982,0.0719255,0.00918896
0.374648,0.0439802,-0.420164
0.815854,0.208669,0.34486
-0.666054,0.356903,0.367139
-0.154817,0.711018,-0.218821
0.01593,0.431732,0.844778
0.0860068,0.489169,-0.00161842
0.33189,-0.0131616,0.718223
0.600614,0.148445,-0.00603615
-0.0144931,-0.0360648,0.202465
-0.196426,-0.237231,-0.237742
-0.169963,-0.0920369,0.261653
0.122147,0.181569,-0.393475
-0.113104,0.792801,0.353178
0.540192,-0.262365,0.768036
0.0940519,0.299717,0.107898
-0.401209,-0.320786,0.651456
-0.260088,0.104756,0.841589
0.0354506,0.452184,-0.508958
0.167752,-0.0953664,-0.489118
-0.434241,0.113156,-0.202732
-0.133409,-0.0222384,0.128482
0.584193,0.349885,-0.304554
0.624649,-0.337842,0.74419
0.0762809,0.482757,0.314373
